StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID3,Q1,Q1_9_TEXT,Q2,Q3,Q4,Q4_19_TEXT,Q5,Q6,Q7,Q8,Q8_4_TEXT,Q9,Q9_4_TEXT,Q10,Q11,Q12,Q12_7_TEXT,Q 13-20_1,Q 13-20_2,Q 13-20_3,Q 13-20_4,Q 13-20_5,Q 13-20_6,Q 13-20_7,Q 13-20_8,Q21,Q22,Q 23-38_1,Q 23-38_2,Q 23-38_3,Q 23-38_4,Q 23-38_5,Q 23-38_6,Q 23-38_7,Q 23-38_8,Q 23-38_9,Q 23-38_10,Q 23-38_11,Q 23-38_12,Q 23-38_13,Q 23-38_14,Q 23-38_15,Q 23-38_16,Q 23-38_16_TEXT,Q39,Q39_14_TEXT,Q40,Q 41-56_1,Q 41-56_2,Q 41-56_3,Q 41-56_4,Q 41-56_5,Q 41-56_6,Q 41-56_7,Q 41-56_8,Q 41-56_9,Q 41-56_10,Q 41-56_11,Q 41-56_12,Q 41-56_13,Q 41-56_14,Q 41-56_15,Q 41-56_16,Q57,Q58,Q59,Q60,Q61
9/2/24 22:09,9/2/24 22:19,IP Address,YYY,100,586,TRUE,9/2/24 22:19,R_4RYuRBkB9A8a4W5,,,,,,,anonymous,EN,同意,澳門,,是,"中學,高中",英語,,24,2 years,我使用過 GenAI。,"ChatGPT,Claude",,ChatGPT,,不是，我使用免費版本。,有些可訪問（例如，我可以訪問生成式人工智能，但並不總是容易）,"電腦,iPad 或平板電腦,手機",,2 - 略知一二,2 - 略知一二,3 - 中等程度,1 - 完全不了解,4-是,4-是,4-是,3 - 中等程度,是,每天,4= 大量使用,4= 大量使用,3= 一些使用,4= 大量使用,4= 大量使用,4= 大量使用,4= 大量使用,4= 大量使用,3= 一些使用,3= 一些使用,2= 很少使用,2= 很少使用,3= 一些使用,1=完全不使用,4= 大量使用,1=完全不使用,NA,"教師培訓計劃,同事,互聯網（例如，Google，YouTube）",,否,,,,,,,,,,,,,,,,,,有多樣化的教學資源以、減少資料和教材收集的時間。,擔心AI所生成的資料的準確性，亦擔心會過度依賴科技。,內容準確性以及缺乏技巧給予AI指令，以致生成的結果與預期有出入。,希望。向加強對工具使用的熟悉度。
9/2/24 22:38,9/2/24 22:40,IP Address,YYY,100,168,TRUE,9/2/24 22:40,R_43DuufyxZa2VuiE,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/24 22:41,9/2/24 22:49,IP Address,YYY,100,470,TRUE,9/2/24 22:49,R_4BrnSeTUehQU1FI,,,,,,,anonymous,EN,同意,澳門,,是,大學,"廣東話,普通話",,56,30,我聽說過，但我不使用它。,,,,,,,,,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,不是,,,,,,,,,,,,,,,,,,,同事,,否,,,,,,,,,,,,,,,,,,,,,
9/2/24 22:49,9/2/24 22:51,IP Address,YYY,100,129,TRUE,9/2/24 22:51,R_4HaBpq9qnokjKXD,,,,,,,anonymous,EN,同意,澳門,,是,大學,"廣東話,普通話",,56,30,我聽說過，但我不使用它。,,,,,,,,,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,不是,,,,,,,,,,,,,,,,,,,"同事,我尚未學會如何在課堂上使用生成式人工智能。",,否,,,,,,,,,,,,,,,,,,,,,
9/2/24 23:04,9/2/24 23:05,IP Address,YYY,100,14,TRUE,9/2/24 23:05,R_4Gl1slBp4tRAHV7,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/24 23:23,9/2/24 23:25,IP Address,YYY,100,98,TRUE,9/2/24 23:25,R_4jjFcoPALEyTxUt,,,,,,,anonymous,EN,同意,澳門,,是,小學,英語,,26,4,我使用過 GenAI。,"ChatGPT,Claude,Gemini",,ChatGPT,,不是，我使用免費版本。,完全不可訪問（例如，我很難或不可能訪問生成式人工智能工具）,電腦,,4-是,5- 非常了解,5- 非常了解,4-是,3 - 中等程度,2 - 略知一二,5- 非常了解,5- 非常了解,不是,,,,,,,,,,,,,,,,,,,"工作坊,教師培訓計劃,同事,學生/孩子,互聯網（例如，Google，YouTube）,實驗",,是,4= 大量,3= 一些,3= 一些,3= 一些,3= 一些,3= 一些,3= 一些,3= 一些,3= 一些,3= 一些,3= 一些,3= 一些,3= 一些,3= 一些,3= 一些,3= 一些,,,,,
9/2/24 23:25,9/2/24 23:28,IP Address,YYY,100,134,TRUE,9/2/24 23:28,R_4F266M8VM8qJLrW,,,,,,,anonymous,EN,同意,澳門,,是,小學,英語,,25,2年,我使用過 GenAI。,ChatGPT,,ChatGPT,,不是，我使用免費版本。,有些可訪問（例如，我可以訪問生成式人工智能，但並不總是容易）,手機,,3 - 中等程度,3 - 中等程度,3 - 中等程度,2 - 略知一二,2 - 略知一二,2 - 略知一二,3 - 中等程度,2 - 略知一二,是,每週,3= 一些使用,3= 一些使用,3= 一些使用,3= 一些使用,3= 一些使用,3= 一些使用,3= 一些使用,3= 一些使用,3= 一些使用,4= 大量使用,3= 一些使用,3= 一些使用,4= 大量使用,3= 一些使用,2= 很少使用,3= 一些使用,,同事,,否,,,,,,,,,,,,,,,,,,,,,
9/2/24 23:36,9/2/24 23:36,IP Address,YYY,100,19,TRUE,9/2/24 23:36,R_4qjFgegjp8aKx9X,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/24 23:42,9/2/24 23:43,IP Address,YYY,100,35,TRUE,9/2/24 23:43,R_4Gs61H9wU7fCsdr,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/24 23:40,9/2/24 23:43,IP Address,YYY,100,210,TRUE,9/2/24 23:43,R_4KfHrKr9SIwXHZd,,,,,,,anonymous,EN,同意,澳門,,是,小學,英語,,40,19,我聽說過，但我不使用它。,,,,,,,,,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,不是,,,,,,,,,,,,,,,,,,,"教師培訓計劃,我尚未學會如何在課堂上使用生成式人工智能。",,否,,,,,,,,,,,,,,,,,不太清楚,可能讓學生更易學懂英語,暫時不知道,暫不知道,可以嘗試
