StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID3,Q1,Q1_9_TEXT,Q2,Q3,Q4,Q4_19_TEXT,Q5,Q6,Q7,Q8,Q8_4_TEXT,Q9,Q9_4_TEXT,Q10,Q11,Q12,Q12_7_TEXT,Q 13-20_1,Q 13-20_2,Q 13-20_3,Q 13-20_4,Q 13-20_5,Q 13-20_6,Q 13-20_7,Q 13-20_8,Q21,Q22,Q 23-38_1,Q 23-38_2,Q 23-38_3,Q 23-38_4,Q 23-38_5,Q 23-38_6,Q 23-38_7,Q 23-38_8,Q 23-38_9,Q 23-38_10,Q 23-38_11,Q 23-38_12,Q 23-38_13,Q 23-38_14,Q 23-38_15,Q 23-38_16,Q 23-38_16_TEXT,Q39,Q39_14_TEXT,Q40,Q 41-56_1,Q 41-56_2,Q 41-56_3,Q 41-56_4,Q 41-56_5,Q 41-56_6,Q 41-56_7,Q 41-56_8,Q 41-56_9,Q 41-56_10,Q 41-56_11,Q 41-56_12,Q 41-56_13,Q 41-56_14,Q 41-56_15,Q 41-56_16,Q57,Q58,Q59,Q60,Q61
9/20/24 8:34,9/20/24 8:45,IP Address,,100,653,TRUE,9/20/24 8:45,R_25N1EIsblm1GAe4,,,,,,,anonymous,EN,Ja,Deutschland,,Ja,Grundschule,Englisch,,38,12 Jahre,Ich habe GenAI verwendet.,ChatGPT,,ChatGPT,,"Nein, ich benutze die kostenlose Version.","Eingeschränkt  zugänglich (z.B. Ich kann auf generative KI zugreifen, aber es ist nicht immer einfach)","Computer,iPad oder Tablet,Mobiltelefon",,3 - Mäßig,3 - Mäßig,2 - Leicht,2 - Leicht,3 - Mäßig,1 - Gar nicht,1 - Gar nicht,4- Gut,Ja,Monatlich,1= Gar nicht,1= Gar nicht,1= Gar nicht,4= Viel,1= Gar nicht,1= Gar nicht,1= Gar nicht,1= Gar nicht,2= Wenig,3= Etwas,1= Gar nicht,1= Gar nicht,1= Gar nicht,1= Gar nicht,1= Gar nicht,4= Viel,Geschichten für den Input zur Wortschatzeinführung erstellen,"Kollegen/Kolleginnen,Andere (bitte eintragen)",Freundeskreis,Nein,,,,,,,,,,,,,,,,,Differenzierung,"Zeiterspranis, Konzentration auf wesentlichere Aspekte","Datenschutz, sprachliche Fehler","Datenschutz; zu wenig eigene professionelle Kenntnis/Unwissen, wie es noch sinnvoll genutzt werden kann","Weiterbildung, welche Möglichkeiten, es überhaupt für den Fremdsprachen unterricht gibt; wie KI im Zusammenhang mit Individualisierung und Differenzierung genutzt werden kann; Weiterbildungen am besten mit Workshop-Charakter und praktischen Beispielen"
9/20/24 9:19,9/20/24 9:26,IP Address,,100,451,TRUE,9/20/24 9:26,R_2FWpBbZam1eSx6e,,,,,,,anonymous,EN,Ja,Deutschland,,Ja,Grundschule,Englisch,,33,6 Jahre,"Ich habe davon gehört, aber ich benutze es nicht.",,,,,,,,,2 - Leicht,3 - Mäßig,3 - Mäßig,3 - Mäßig,1 - Gar nicht,2 - Leicht,2 - Leicht,4- Gut,Nein,,,,,,,,,,,,,,,,,,,"Internet (z.B. Google, YouTube)",,Nein,,,,,,,,,,,,,,,,,,In bestimmten Situationen könnten diese Tools die Lehrkraft gewisser Maßen ersetzen. So könnte sich die Lehrkraft anderen Aufgaben widmen und wäre im Optimalfall etwas entlastet.,"Ich kann mir noch nicht vorstellen, wie eine KI die sozialen und emotionalen Komponenten in einem Gespräch bereitstellen kann.","In der Grundschule lernen die Kinder erst das Schreiben. Bevor sie nicht wesentliche grundlegende Kenntnisse und Fertigkeiten erworben haben, kann ich mir nicht wirklich vorstellen, dass sie Tools wie ChatGPT sinnvoll einsetzen können.",
9/22/24 23:52,9/22/24 23:52,IP Address,,100,18,TRUE,9/22/24 23:52,R_2ldVe7yxInWez0R,,,,,,,anonymous,EN,Ja,Deutschland,,Nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/23/24 1:46,9/23/24 1:50,IP Address,,100,244,TRUE,9/23/24 1:50,R_8jdO8jgacWUagKx,,,,,,,anonymous,EN,Ja,Deutschland,,Ja,Grundschule,Englisch,,49,24,"Ich habe davon gehört, aber ich benutze es nicht.",,,,,,,,,2 - Leicht,3 - Mäßig,2 - Leicht,1 - Gar nicht,1 - Gar nicht,1 - Gar nicht,2 - Leicht,1 - Gar nicht,Nein,,,,,,,,,,,,,,,,,,,"Ich habe noch nicht gelernt, wie man generative KI in meinem Unterricht einsetzt.",,Nein,,,,,,,,,,,,,,,,,,,,,"Ja, sehr gerne:
Zunächst eine Info-Veranstaltung online und dann Module, deren Themen klar definiert und praxisorientiert sind"
9/23/24 2:16,9/23/24 2:17,IP Address,,100,18,TRUE,9/23/24 2:17,R_2kbnEcctJkU8oUm,,,,,,,anonymous,EN,Ja,Deutschland,,Nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/23/24 3:03,9/23/24 3:08,IP Address,,100,278,TRUE,9/23/24 3:08,R_2P7p4k4iSJEfSL9,,,,,,,anonymous,EN,Ja,Deutschland,,Ja,Grundschule,Englisch,,56,ca. 25 Jahre,"Ich habe davon gehört, aber ich benutze es nicht.",,,,,,,,,2 - Leicht,4- Gut,3 - Mäßig,3 - Mäßig,2 - Leicht,1 - Gar nicht,1 - Gar nicht,2 - Leicht,Nein,,,,,,,,,,,,,,,,,,,"Internet (z.B. Google, YouTube),Ich habe noch nicht gelernt, wie man generative KI in meinem Unterricht einsetzt.",,Nein,,,,,,,,,,,,,,,,,Englischunterricht in der Grunschule,"individuelles Lernen
Entlastung bei der Vorbereitung","zeitlicher Aufwand bis man es beherrscht hoch
Datenschutz","Ich kenne mich damit nicht aus und habe derzeit keine zeitliche Ressourcen, um mich einzuarbeiten. Es gibt zu viele andere Dinge, die verlangt werden und die wir in der Schule bewältigen müssen. BISS, Förderkonzepte, usw. ","ja, online-Fortbildung"
9/23/24 4:36,9/23/24 4:38,IP Address,,100,156,TRUE,9/23/24 4:38,R_8H68jCk0vCjNSOQ,,,,,,,anonymous,EN,Ja,Deutschland,,Ja,Grundschule,Englisch,,24,2 Jahre,Ich habe GenAI verwendet.,"ChatGPT,Gemini",,ChatGPT,,"Nein, ich benutze die kostenlose Version.",Sehr zugänglich (z.B. Ich kann generative KI-Tools jederzeit verwenden),"Computer,iPad oder Tablet,Mobiltelefon",,4- Gut,3 - Mäßig,4- Gut,3 - Mäßig,3 - Mäßig,3 - Mäßig,3 - Mäßig,3 - Mäßig,Nein,,,,,,,,,,,,,,,,,,,"Internet (z.B. Google, YouTube),Experimentieren",,Nein,,,,,,,,,,,,,,,,,,,,,
9/23/24 4:31,9/23/24 4:40,IP Address,,100,535,TRUE,9/23/24 4:40,R_2sQoZzidOGWHAFb,,,,,,,anonymous,EN,Ja,Deutschland,,Ja,Sekundarschule/Gymnasium,"Englisch,Französisch",,43,16,Ich habe GenAI verwendet.,"ChatGPT,Gemini",,Gemini,,"Nein, ich benutze die kostenlose Version.","Eingeschränkt  zugänglich (z.B. Ich kann auf generative KI zugreifen, aber es ist nicht immer einfach)","Computer,iPad oder Tablet,Mobiltelefon",,4- Gut,3 - Mäßig,4- Gut,4- Gut,2 - Leicht,3 - Mäßig,3 - Mäßig,5- Sehr gut,Nein,,,,,,,,,,,,,,,,,,,"Workshops,Lehrerausbildung ,Kollegen/Kolleginnen,Experimentieren",,Ja,1= Gar nicht,3= Etwas,3= Etwas,4= Viel,4= Viel,2= Wenig,2= Wenig,2= Wenig,4= Viel,3= Etwas,3= Etwas,3= Etwas,2= Wenig,1= Gar nicht,4= Viel,2= Wenig,Erstellung Leistungsmessung in unterschiedlichen Niveaustufen,Aktive Sprachanwendung,"Schüler driften schnell ab, Antworten sind nicht verifiziert ",Nicht genügend Endgeräte/WLAN für alle Schüler,Klassische Fortbildung in analoger Form mit viel Praxisanwendung
9/23/24 5:53,9/23/24 5:56,IP Address,,100,173,TRUE,9/23/24 5:56,R_2LLn7sOC8uPWWcx,,,,,,,anonymous,EN,Ja,Deutschland,,Ja,Grundschule,Englisch,,39,15 Jahre,"Ich habe davon gehört, aber ich benutze es nicht.",,,,,,,,,3 - Mäßig,4- Gut,2 - Leicht,3 - Mäßig,2 - Leicht,2 - Leicht,2 - Leicht,3 - Mäßig,Nein,,,,,,,,,,,,,,,,,,,"Kollegen/Kolleginnen,Ich habe noch nicht gelernt, wie man generative KI in meinem Unterricht einsetzt.",,Nein,,,,,,,,,,,,,,,,,,,,,
9/23/24 6:16,9/23/24 6:19,IP Address,,100,223,TRUE,9/23/24 6:19,R_2f10vCawtBkHDh2,,,,,,,anonymous,EN,Ja,Deutschland,,Ja,Grundschule,Englisch,,34,10 Jahre ,Ich habe GenAI verwendet.,Andere,? ,Andere,,"Nein, ich benutze die kostenlose Version.","Eingeschränkt  zugänglich (z.B. Ich kann auf generative KI zugreifen, aber es ist nicht immer einfach)","Computer,Mobiltelefon",,2 - Leicht,4- Gut,3 - Mäßig,3 - Mäßig,2 - Leicht,1 - Gar nicht,1 - Gar nicht,4- Gut,Nein,,,,,,,,,,,,,,,,,,,"Kollegen/Kolleginnen,Internet (z.B. Google, YouTube)",,Nein,,,,,,,,,,,,,,,,,,,,,"Ja, in Präsenz "
