StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID3,Q1,Q1_5_TEXT,Q2,Q3,Q4,Q4_10_TEXT,Q5,Q6,Q7,Q8,Q8_4_TEXT,Q9,Q9_4_TEXT,Q10,Q11,Q12,Q12_4_TEXT,Q 13-20_1,Q 13-20_2,Q 13-20_3,Q 13-20_4,Q 13-20_5,Q 13-20_6,Q 13-20_7,Q 13-20_8,Q21,Q22,Q 23-38_1,Q 23-38_2,Q 23-38_3,Q 23-38_4,Q 23-38_5,Q 23-38_6,Q 23-38_7,Q 23-38_8,Q 23-38_9,Q 23-38_10,Q 23-38_11,Q 23-38_12,Q 23-38_13,Q 23-38_14,Q 23-38_15,Q 23-38_16,Q 23-38_16_TEXT,Q39,Q39_7_TEXT,Q40,Q 41-56_1,Q 41-56_2,Q 41-56_3,Q 41-56_4,Q 41-56_5,Q 41-56_6,Q 41-56_7,Q 41-56_8,Q 41-56_9,Q 41-56_10,Q 41-56_11,Q 41-56_12,Q 41-56_13,Q 41-56_14,Q 41-56_15,Q 41-56_16,Q57,Q58,Q59,Q60,Q61
8/27/24 9:56,8/27/24 10:17,IP Address,,100,1256,TRUE,8/27/24 10:17,R_5aDemxsGIz58a2C,,,,,,,anonymous,EN,"Yes, I Agree",United States,,Yes,Secondary school/High School,"French,Other",Arabic,39,6,I have used GenAI.,"ChatGPT,Claude,Gemini,Other",Copilot Microsoft and Raina ,ChatGPT,,"Yes, I pay for it.","Very accessible (e.g., I can access and use generative AI tools whenever I want to)","Computer,Cellular telephone",,5- Very much so,5- Very much so,5- Very much so,4-Yes,5- Very much so,5- Very much so,5- Very much so,5- Very much so,Yes,Daily,3=To some extent,3=To some extent,4=To a large extent,4=To a large extent,3=To some extent,4=To a large extent,3=To some extent,2= To little extent,3=To some extent,3=To some extent,5=To a very large extent,4=To a large extent,3=To some extent,5=To a very large extent,2= To little extent,5=To a very large extent,"Emails, and games","Workshops,Experimentation",,Yes,5=To a very large extent,5=To a very large extent,5=To a very large extent,3=To some extent,3=To some extent,5=To a very large extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,5=To a very large extent,5=To a very large extent,5=To a very large extent,5=To a very large extent,1=To no extent,5=To a very large extent,Creating interactive google slides from a website,It would provide a tutoring opportunity for my students. They can have a conversation in the target language with the bot that I have created using The GPT store. ,The Bias and not all of the information are factual. Sometimes it provides fake biased and fake information,,How to make it accessible for students to use it properly as a brainstroming tool and not as a cheating tool.
8/27/24 10:46,8/27/24 11:17,IP Address,,100,1852,TRUE,8/27/24 11:17,R_5OpFEGper7pZbIu,,,,,,,anonymous,EN,"Yes, I Agree",United States,,Yes,Secondary school/High School,Spanish,,44,4,I have used GenAI.,ChatGPT,,ChatGPT,,"Yes, I pay for it.","Very accessible (e.g., I can access and use generative AI tools whenever I want to)","Computer,Cellular telephone",,5- Very much so,5- Very much so,3 - Moderately,2 - Slightly,2 - Slightly,3 - Moderately,4-Yes,3 - Moderately,Yes,Daily,3=To some extent,2= To little extent,2= To little extent,2= To little extent,1=To no extent,4=To a large extent,2= To little extent,3=To some extent,2= To little extent,4=To a large extent,2= To little extent,1=To no extent,2= To little extent,1=To no extent,2= To little extent,1=To no extent,None,"Workshops,Colleagues",,Yes,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,2= To little extent,2= To little extent,1=To no extent,1=To no extent,3=To some extent,2= To little extent,2= To little extent,2= To little extent,2= To little extent,1=To no extent,1=To no extent,Tasks where students have to use YouTube or songs. ,It provides cultural ideas to introduce new topics or vocabulary. ,My biggest concern is that students will use it to complete all activities. ,"I use ChatGPT to save myself time; however, I cannot use it verbatim; therefore, I have to go over all the plan, lesson or activity and edit it. In the end, I do not know how much time I am saving. ","I think we have received plenty from the county, and I personally learnt a lot at the ACTFL Convention. "
8/30/24 22:28,8/30/24 23:19,IP Address,,50,3055,FALSE,9/6/24 23:19,R_6OJqGIyCe97RjOr,,,,,,,anonymous,EN,"Yes, I Agree",Macau,,Yes,Secondary school/High School,English,,45,10,I have used GenAI.,ChatGPT,,ChatGPT,,"Yes, I pay for it.","Very accessible (e.g., I can access and use generative AI tools whenever I want to)",Computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/9/24 9:52,9/9/24 9:56,IP Address,,100,240,TRUE,9/9/24 9:56,R_7ohg8ie9E4hMoaR,,,,,,,anonymous,EN,"Yes, I Agree",United States,,Yes,Secondary school/High School,Spanish,,28,6,I have used GenAI.,ChatGPT,,ChatGPT,,"No, I use the free version.","Very accessible (e.g., I can access and use generative AI tools whenever I want to)","Computer,iPad or tablet",,5- Very much so,5- Very much so,5- Very much so,5- Very much so,5- Very much so,5- Very much so,5- Very much so,5- Very much so,Yes,Weekly,2= To little extent,3=To some extent,5=To a very large extent,2= To little extent,1=To no extent,3=To some extent,1=To no extent,1=To no extent,3=To some extent,1=To no extent,2= To little extent,1=To no extent,1=To no extent,3=To some extent,1=To no extent,1=To no extent,NA,"Workshops,Internet (e.g., Google, YouTube),Experimentation",,No,,,,,,,,,,,,,,,,,,I think it saves on time for rubrics and ensuring activities are aligned to standards.,The accuracy of the language ,There are ethical concerns and concerns with accuracy or lack thereof ,Yes 
9/9/24 10:10,9/9/24 10:21,IP Address,,100,688,TRUE,9/9/24 10:21,R_5rD5GkMG3dMJh5e,,,,,,,anonymous,EN,"Yes, I Agree",United States,,Yes,Post high school/University Level,Other,Japanese ,29,1,I have heard of it but I do not use it.,,,,,,,,,4-Yes,3 - Moderately,5- Very much so,4-Yes,3 - Moderately,3 - Moderately,3 - Moderately,4-Yes,No,,,,,,,,,,,,,,,,,,,"Teacher preparation program,Colleagues",,No,,,,,,,,,,,,,,,,,Unsure of what part of my work would be good for GenAI to do. ,Streamlining tasks,Level appropriateness for my language.,It feels unapproachable for me.,I would like to. I would benefit from a direct example of how others use it and ways that I can apply it in my classroom.
9/9/24 13:05,9/9/24 13:14,IP Address,,100,540,TRUE,9/9/24 13:14,R_6rSEbG0kLxOTkkw,,,,,,,anonymous,EN,"Yes, I Agree",United States,,Yes,Secondary school/High School,Mandarin,,50,6,I have used GenAI.,ChatGPT,,ChatGPT,,"No, I use the free version.","Very accessible (e.g., I can access and use generative AI tools whenever I want to)",Computer,,5- Very much so,5- Very much so,5- Very much so,4-Yes,4-Yes,3 - Moderately,3 - Moderately,4-Yes,Yes,Daily,2= To little extent,1=To no extent,2= To little extent,3=To some extent,1=To no extent,1=To no extent,1=To no extent,1=To no extent,1=To no extent,2= To little extent,3=To some extent,3=To some extent,3=To some extent,1=To no extent,1=To no extent,1=To no extent,,Workshops,,Yes,1=To no extent,1=To no extent,1=To no extent,1=To no extent,1=To no extent,1=To no extent,1=To no extent,1=To no extent,1=To no extent,2= To little extent,2= To little extent,3=To some extent,3=To some extent,1=To no extent,2= To little extent,1=To no extent,generate better PPT or google slides. The function is limited now,"I just started using it this semester. I think that once I know how to better use the tool, it will save a lot of time for certain tasks.",I am worried that teachers will use the AI tool and not personalize it to their students.,It does not always generate the right response.,yes. How to use the tool more effectively
9/9/24 14:05,9/9/24 14:12,IP Address,,100,419,TRUE,9/9/24 14:12,R_3uHAlIfc5ss8Xm2,,,,,,,anonymous,EN,"Yes, I Agree",United States,,Yes,Secondary school/High School,French,,44,18,I have used GenAI.,ChatGPT,,ChatGPT,,"No, I use the free version.","Very accessible (e.g., I can access and use generative AI tools whenever I want to)",Computer,,5- Very much so,5- Very much so,4-Yes,5- Very much so,4-Yes,4-Yes,4-Yes,5- Very much so,Yes,Weekly,1=To no extent,3=To some extent,1=To no extent,4=To a large extent,1=To no extent,3=To some extent,1=To no extent,3=To some extent,4=To a large extent,1=To no extent,3=To some extent,1=To no extent,4=To a large extent,5=To a very large extent,1=To no extent,1=To no extent,.,"Colleagues,Experimentation",,No,,,,,,,,,,,,,,,,,Adaptive feedback and follow up activities. My colleagues piloted Flint last year and will be piloting a new program this fall. ,"Gain time
Online tutor
Generate prompts and pictures
Brainstorm ideas in the target language",Not being trained well enough on its proper use and the importance it should occupy ,"I use it mainly to create activities, but students are not using it. ","Yes
Best practices 
Dos and don'ts"
9/9/24 15:25,9/9/24 15:33,IP Address,,100,450,TRUE,9/9/24 15:33,R_6fQbMef9OzY5tlP,,,,,,,anonymous,EN,"Yes, I Agree",United States,,Yes,Primary/Elementary School,Mandarin,,32,8,I have used GenAI.,"ChatGPT,Gemini,Other",,Gemini,,"No, I use the free version.","Very accessible (e.g., I can access and use generative AI tools whenever I want to)",Computer,,3 - Moderately,3 - Moderately,3 - Moderately,3 - Moderately,3 - Moderately,3 - Moderately,3 - Moderately,3 - Moderately,Yes,Weekly,3=To some extent,4=To a large extent,4=To a large extent,4=To a large extent,3=To some extent,4=To a large extent,4=To a large extent,4=To a large extent,3=To some extent,4=To a large extent,3=To some extent,3=To some extent,2= To little extent,4=To a large extent,2= To little extent,2= To little extent,,"Colleagues,Internet (e.g., Google, YouTube)",,No,,,,,,,,,,,,,,,,,,For differentiation and assessment. I no longer need to make the sheets by my self.  ,The kids relies on tech too much,Verbal practice,Yes
9/9/24 17:40,9/9/24 18:04,IP Address,,100,1412,TRUE,9/9/24 18:04,R_6STCf0x1GxPEF4B,,,,,,,anonymous,EN,"Yes, I Agree",United States,,Yes,Secondary school/High School,Spanish,,49,5,I have used GenAI.,ChatGPT,,ChatGPT,,"No, I use the free version.","Very accessible (e.g., I can access and use generative AI tools whenever I want to)",Computer,,5- Very much so,5- Very much so,5- Very much so,5- Very much so,4-Yes,4-Yes,4-Yes,5- Very much so,Yes,Weekly,4=To a large extent,4=To a large extent,1=To no extent,4=To a large extent,1=To no extent,3=To some extent,1=To no extent,1=To no extent,1=To no extent,1=To no extent,4=To a large extent,1=To no extent,4=To a large extent,4=To a large extent,1=To no extent,5=To a very large extent,Create scenarios for student activities (spoken and written),Workshops,,Yes,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,1=To no extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,1=To no extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,I will like to know how to use AI (Free of charge) to provide opportunities to students to have a conversation in the target language with a chat-bot.,"It have saved me a lot of time. It has allowed me to be able to produce more resources, activities, etc. I believe that the use of AI have assist me to provide a higher level of instruction. I can dedicate my time to provide personalized learning and feedback to students.","I do not allow students to use it because I want them to produce the language themselves. I modify the results (products) created by AI to match the proficiency level I need, the vocabulary that we are using or intent to use. It is a base that allow me to refine to the student needs. I use tools to differentiate learning. I honestly use AI multiple times a week. Not every day, but I will say at least 4 days a week.",I still prioritize the use of authentic resources as much as I can find it. The use of generated content has helped me to fill the gaps. I will like to be more proficient.,I will like to receive PD on how can students use AI to practice speaking. Something like Amira (AI) do for English learners with reading assistance and pronunciation. Is there a tool like that for Spanish?
9/9/24 19:30,9/9/24 19:41,IP Address,,100,702,TRUE,9/9/24 19:41,R_5XowAqkXgPNBUf7,,,,,,,anonymous,EN,"Yes, I Agree",United States,,Yes,Primary/Elementary School,Spanish,,53,2,I have used GenAI.,ChatGPT,,ChatGPT,,"No, I use the free version.","Very accessible (e.g., I can access and use generative AI tools whenever I want to)",Computer,,4-Yes,4-Yes,4-Yes,4-Yes,3 - Moderately,4-Yes,4-Yes,5- Very much so,Yes,Weekly,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,3=To some extent,2= To little extent,1=To no extent,3=To some extent,3=To some extent,2= To little extent,1=To no extent,2= To little extent,3=To some extent,2= To little extent,1=To no extent,,"Teacher preparation program,Colleagues,Internet (e.g., Google, YouTube)",,Yes,3=To some extent,3=To some extent,3=To some extent,4=To a large extent,4=To a large extent,3=To some extent,2= To little extent,2= To little extent,4=To a large extent,2= To little extent,2= To little extent,2= To little extent,2= To little extent,4=To a large extent,4=To a large extent,3=To some extent,Activities based on student interests.,"Using as a tool, cuts time and helps you as a teacher come up with multiple ideas for a topic.",I have concerns about someone using it without adding their own research.,The specificity of commands to get exactly what you need.,I would like to get more professional development on how to create useful commands to assist the tool.
