StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID3,Q1,Q1_9_TEXT,Q2,Q3,Q4,Q4_19_TEXT,Q5,Q6,Q7,Q8,Q8_7_TEXT,Q9,Q9_4_TEXT,Q10,Q11,Q12,Q12_7_TEXT,Q 13-20_1,Q 13-20_2,Q 13-20_3,Q 13-20_4,Q 13-20_5,Q 13-20_6,Q 13-20_7,Q 13-20_8,Q21,Q22,Q 23-38_1,Q 23-38_2,Q 23-38_3,Q 23-38_4,Q 23-38_5,Q 23-38_6,Q 23-38_7,Q 23-38_8,Q 23-38_9,Q 23-38_10,Q 23-38_11,Q 23-38_12,Q 23-38_13,Q 23-38_14,Q 23-38_15,Q 23-38_16,Q 23-38_16_TEXT,Q39,Q40,Q 41-56_1,Q 41-56_2,Q 41-56_3,Q 41-56_4,Q 41-56_5,Q 41-56_6,Q 41-56_7,Q 41-56_8,Q 41-56_9,Q 41-56_10,Q 41-56_11,Q 41-56_12,Q 41-56_13,Q 41-56_14,Q 41-56_15,Q 41-56_16,Q57,Q58,Q59,Q60,Q61
8/27/24 17:47,8/27/24 17:53,IP Address,,100,386,TRUE,8/27/24 17:53,R_6dL3l2Uk4MaShTS,,,,,,,anonymous,EN,Sí,Colombia,,Sí,Nivel universitario,"Inglés,Español",,39,15 años,He usado GenAI.,"ChatGPT,Gemini,Otro",CoPilot,ChatGPT,,"Sí, lo paga mi empleador.","Muy accesibles (por ejemplo, puedo acceder y usar las herramientas de IA generativa cuando quiera)","Computadora,iPad o tableta,Teléfono celular",,4 - Sí,4 - Sí,4 - Sí,4 - Sí,4 - Sí,5 - Mucho,4 - Sí,5 - Mucho,Sí,Semanalmente,4 = En gran medida,3 = En alguna medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,3 = En alguna medida,2 = En poca medida,4 = En gran medida,3 = En alguna medida,4 = En gran medida,3 = En alguna medida,3 = En alguna medida,2 = En poca medida,1 = Para nada,,"Talleres,Programa de preparación de profesores,Colegas,Experimentación",Sí,4 = En gran medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,1 = Para nada,3 = En alguna medida,2 = En poca medida,4 = En gran medida,3 = En alguna medida,4 = En gran medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,1 = Para nada,2 = En poca medida,2 = En poca medida,Listening activities,Variacion de actividades y ayuda en planeacion al profesor,Los sesgos y el uso de datos,Que algunas aplicaciones son pagas como Yoodli ,Cursos constantes para los profesores
8/30/24 10:13,8/30/24 10:23,IP Address,,100,620,TRUE,8/30/24 10:23,R_3QiLVez3ixUWdPh,,,,,,,anonymous,EN,Sí,Colombia,,Sí,Nivel universitario,Inglés,,57,30,He usado GenAI.,"ChatGPT,Gemini,Otro",Mónica ,Otro,"Copilot, Perplexity","No, uso la versión gratuita.","Muy accesibles (por ejemplo, puedo acceder y usar las herramientas de IA generativa cuando quiera)","Computadora,Teléfono celular",,5 - Mucho,5 - Mucho,5 - Mucho,5 - Mucho,5 - Mucho,5 - Mucho,5 - Mucho,5 - Mucho,Sí,Diariamente,5 = Con mucha frecuencia,4 = En gran medida,4 = En gran medida,5 = Con mucha frecuencia,5 = Con mucha frecuencia,5 = Con mucha frecuencia,5 = Con mucha frecuencia,5 = Con mucha frecuencia,5 = Con mucha frecuencia,4 = En gran medida,5 = Con mucha frecuencia,3 = En alguna medida,4 = En gran medida,3 = En alguna medida,2 = En poca medida,1 = Para nada,,"Talleres,Colegas,Internet (por ejemplo, Google, YouTube),Experimentación",Sí,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,Prácticamente todas las tareas son posibles. Tal vez actividades de desarrollo de escucha,"Muchos. Permite variedad, flexibilidad y creatividad ","Cómo se entrana o forma a los usuarios. 
La seguridad privada con estas herramientas. 
Determinar el buen uso de las mismas ","Acceso a las versiones premium 
Capacitación sobre cómo sacar mejor provecho 
Formación de estudiantes para que la vean como una herramienta que ayuda al aprendizaje y no cómo una forma de plagiar ",Todo lo relacionado a posibles usos y aplicaciones que van surgiendo 
8/28/24 14:48,8/28/24 14:49,IP Address,,50,92,FALSE,9/4/24 14:50,R_5BSnGLtkKqsu7Kp,,,,,,,anonymous,EN,Sí,Colombia,,Sí,Nivel universitario,"Inglés,Español",,30,10,He usado GenAI.,"ChatGPT,Gemini",,Gemini,,"Sí, lo paga mi empleador.","Muy accesibles (por ejemplo, puedo acceder y usar las herramientas de IA generativa cuando quiera)","Computadora,iPad o tableta,Teléfono celular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/5/24 9:59,9/5/24 10:04,IP Address,,100,290,TRUE,9/5/24 10:04,R_3qfWGy9TdUaAfOA,,,,,,,anonymous,EN,Sí,Colombia,,Sí,Nivel universitario,Inglés,,38,15 años,Nunca he oído hablar de ello.,,,,,,,,,2 - Ligeramente,2 - Ligeramente,2 - Ligeramente,2 - Ligeramente,1 - Para nada,1 - Para nada,1 - Para nada,1 - Para nada,No,,,,,,,,,,,,,,,,,,,"Talleres,Internet (por ejemplo, Google, YouTube),Experimentación",No,,,,,,,,,,,,,,,,,Plan de clases,Muy pertinente en el quehacer pedagógico.,Que reemplace funciones esenciales con el docente.,Poco material para adaptar en Listening.,Desarrollo de habilidades comunicativas y en pronunciación 
9/5/24 12:44,9/5/24 12:47,IP Address,,100,187,TRUE,9/5/24 12:47,R_3Hq3q7mHaHIRKw8,,,,,,,anonymous,EN,Sí,Colombia,,Sí,Escuela secundaria,Inglés,,36,10 años,"He oído hablar de ello, pero no lo uso.",,,,,,,,,2 - Ligeramente,2 - Ligeramente,2 - Ligeramente,2 - Ligeramente,2 - Ligeramente,2 - Ligeramente,2 - Ligeramente,2 - Ligeramente,No,,,,,,,,,,,,,,,,,,,Aún no he aprendido cómo usar la inteligencia artificial generativa en mi aula.,No,,,,,,,,,,,,,,,,,Mejorar la producción oral en un segundo idioma,,,,
9/5/24 17:58,9/5/24 18:10,IP Address,,100,684,TRUE,9/5/24 18:10,R_1Gdfy4b6jj1xUv2,,,,,,,anonymous,EN,Sí,Colombia,,Sí,"Escuela media,Nivel universitario","Inglés,Francés,Español",,39,12 año,He usado GenAI.,ChatGPT,,ChatGPT,,"No, uso la versión gratuita.","Muy accesibles (por ejemplo, puedo acceder y usar las herramientas de IA generativa cuando quiera)","Computadora,Teléfono celular",,4 - Sí,4 - Sí,4 - Sí,4 - Sí,1 - Para nada,4 - Sí,3 - Moderadamente,4 - Sí,Sí,Diariamente,5 = Con mucha frecuencia,5 = Con mucha frecuencia,5 = Con mucha frecuencia,5 = Con mucha frecuencia,1 = Para nada,5 = Con mucha frecuencia,3 = En alguna medida,1 = Para nada,2 = En poca medida,3 = En alguna medida,3 = En alguna medida,1 = Para nada,5 = Con mucha frecuencia,1 = Para nada,5 = Con mucha frecuencia,1 = Para nada,No,"Talleres,Colegas,Internet (por ejemplo, Google, YouTube),Experimentación",Sí,2 = En poca medida,3 = En alguna medida,2 = En poca medida,3 = En alguna medida,1 = Para nada,3 = En alguna medida,2 = En poca medida,1 = Para nada,1 = Para nada,3 = En alguna medida,2 = En poca medida,1 = Para nada,3 = En alguna medida,1 = Para nada,1 = Para nada,2 = En poca medida,Retroalimentación de estudiantes.,Ahorro de tiempo y esfuerzo.,"Que mis estudiantes se dediquen a copiar lo que sacan de ahí sin entender, cuestionar o aprender nada.",Crear los prompts correctos para que el chat me genere lo que necesito.,"Sí, para crear prompts óptimos para diversas tareas y para generar textos hablados. También para la creación de guías de trabajo, ya que hasta el momento no lo he logrado por mí misma. "
9/10/24 9:06,9/10/24 9:13,IP Address,,100,437,TRUE,9/10/24 9:13,R_7do9vknHLUqAoSR,,,,,,,anonymous,EN,Sí,Colombia,,Sí,Escuela primaria,Inglés,,32,4,He usado GenAI.,ChatGPT,,ChatGPT,,"No, uso la versión gratuita.","Muy accesibles (por ejemplo, puedo acceder y usar las herramientas de IA generativa cuando quiera)",Computadora,,4 - Sí,3 - Moderadamente,3 - Moderadamente,5 - Mucho,3 - Moderadamente,3 - Moderadamente,3 - Moderadamente,2 - Ligeramente,Sí,Diariamente,4 = En gran medida,4 = En gran medida,4 = En gran medida,4 = En gran medida,2 = En poca medida,4 = En gran medida,3 = En alguna medida,2 = En poca medida,2 = En poca medida,2 = En poca medida,4 = En gran medida,3 = En alguna medida,2 = En poca medida,2 = En poca medida,2 = En poca medida,4 = En gran medida,Editar textos. ,"Internet (por ejemplo, Google, YouTube),Experimentación",No,,,,,,,,,,,,,,,,,"Redacción de correos dirigidos a mis estudiantes o padres de familia. 
Mensajes personales. ",Versatilidad.,Perdida de disciplina y esfuerzo cognitivo al momento de pensar en una idea o redacción de un texto.,"No muchos, muy intuitivo.",Sí. Training en IA con un approach en EDTECH.
9/16/24 15:04,9/16/24 15:05,IP Address,,100,112,TRUE,9/16/24 15:05,R_7IRzVSdpkzvioCA,,,,,,,anonymous,EN,Sí,Colombia,,Sí,Nivel universitario,Inglés,,53,25,"He oído hablar de ello, pero no lo uso.",,,,,,,,,3 - Moderadamente,3 - Moderadamente,3 - Moderadamente,3 - Moderadamente,2 - Ligeramente,2 - Ligeramente,2 - Ligeramente,2 - Ligeramente,No,,,,,,,,,,,,,,,,,,,"Programa de preparación de profesores,Estudiantes/Niños,Experimentación",No,,,,,,,,,,,,,,,,,,,,,
9/16/24 15:04,9/16/24 15:07,IP Address,,100,212,TRUE,9/16/24 15:07,R_5CPfVz7aikoMX6N,,,,,,,anonymous,EN,Sí,Colombia,,Sí,Nivel universitario,"Inglés,Francés",,34 años,10 años,"He oído hablar de ello, pero no lo uso.",,,,,,,,,3 - Moderadamente,4 - Sí,4 - Sí,4 - Sí,3 - Moderadamente,3 - Moderadamente,3 - Moderadamente,4 - Sí,No,,,,,,,,,,,,,,,,,,,"Colegas,Estudiantes/Niños",No,,,,,,,,,,,,,,,,,Para actividades de simulación,La retroalimentación es eficaz ,La copia exacta de textos hechos por la IA,Los estudiantes no solo lo usan para una actividad especifica sino para todo,"Si, múltiples aplicaciones para usar en actividades de habla"
9/16/24 15:04,9/16/24 15:09,IP Address,,100,293,TRUE,9/16/24 15:09,R_5xUMiWPtHCVHEtP,,,,,,,anonymous,EN,Sí,Colombia,,Sí,Nivel universitario,Alemán,,36,16,He usado GenAI.,"ChatGPT,Gemini",,Gemini,,"No, uso la versión gratuita.","Muy accesibles (por ejemplo, puedo acceder y usar las herramientas de IA generativa cuando quiera)","Computadora,iPad o tableta,Teléfono celular",,4 - Sí,4 - Sí,4 - Sí,4 - Sí,4 - Sí,4 - Sí,4 - Sí,4 - Sí,Sí,Semanalmente,5 = Con mucha frecuencia,4 = En gran medida,4 = En gran medida,5 = Con mucha frecuencia,2 = En poca medida,5 = Con mucha frecuencia,3 = En alguna medida,2 = En poca medida,2 = En poca medida,4 = En gran medida,5 = Con mucha frecuencia,4 = En gran medida,3 = En alguna medida,3 = En alguna medida,2 = En poca medida,1 = Para nada,Ninguno,"Talleres,Colegas,Experimentación",No,,,,,,,,,,,,,,,,,,,,,
9/16/24 15:24,9/16/24 15:30,IP Address,,100,353,TRUE,9/16/24 15:30,R_6zC2cuaUvhQ9EPG,,,,,,,anonymous,EN,Sí,Colombia,,Sí,Nivel universitario,Inglés,,38,15 años,He usado GenAI.,"ChatGPT,Gemini,Otro",,ChatGPT,,"No, uso la versión gratuita.","Algo accesibles (por ejemplo, puedo acceder a la IA generativa, pero no siempre es fácil)","Computadora,iPad o tableta,Teléfono celular",,3 - Moderadamente,4 - Sí,3 - Moderadamente,4 - Sí,4 - Sí,3 - Moderadamente,3 - Moderadamente,4 - Sí,Sí,Semanalmente,3 = En alguna medida,4 = En gran medida,3 = En alguna medida,4 = En gran medida,2 = En poca medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,3 = En alguna medida,4 = En gran medida,4 = En gran medida,3 = En alguna medida,3 = En alguna medida,2 = En poca medida,1 = Para nada,1 = Para nada,No,"Talleres,Colegas,Internet (por ejemplo, Google, YouTube),Experimentación",No,,,,,,,,,,,,,,,,,Trabajo administrativo,Trabajo más agil,"Temas éticos: deshonestidad en el trabajo
Menos esfuerzo mental, dejar de producir contenido",Confiabilidad en las respuestas ,Sí
